2019-12-09 21:56:47.303712:   [INFO  ]   -----------------------------------------------------------------------------
2019-12-09 21:56:47.303925:   [INFO  ]   Hello world!
2019-12-09 21:56:47.304133:   [INFO  ]   Start main processing!
2019-12-09 21:56:48.011167:   [START ]   Start Prepare Traning data
2019-12-09 21:56:48.043107:   [RESULT]   ----------Score on Int Limiting 45: 3.1006035457162047----------
2019-12-09 21:56:48.043187:   [RESULT]   ----------Score on Int Limiting 46: 3.0902839548704857----------
2019-12-09 21:56:48.043361:   [RESULT]   ----------Score on Int Limiting 47: 2.862774184484919----------
2019-12-09 21:56:48.043445:   [RESULT]   ----------Score on Int Limiting 48: 2.97038100496409----------
2019-12-09 21:56:48.043555:   [RESULT]   ----------Score on Int Limiting 49: 3.1042619429237353----------
2019-12-09 21:56:48.043634:   [RESULT]   ----------Score on Int Limiting 50: 3.4171766436899116----------
2019-12-09 21:56:48.043741:   [RESULT]   ----------Score on Int Limiting 51: 3.438685677791032----------
2019-12-09 21:56:48.043821:   [RESULT]   ----------Score on Int Limiting 52: 3.2388436175366353----------
2019-12-09 21:56:48.043928:   [RESULT]   ----------Score on Int Limiting 53: 3.1549362650251056----------
2019-12-09 21:56:48.044007:   [RESULT]   ----------Score on Int Limiting 54: 2.7664496337621007----------
2019-12-09 21:56:48.044116:   [RESULT]   ----------Score on Int Limiting 55: 3.3992691174063303----------
2019-12-09 21:56:48.044195:   [RESULT]   ----------Score on Int Limiting 56: 3.3907872919319377----------
2019-12-09 21:56:48.044308:   [RESULT]   ----------Score on Int Limiting 57: 3.1092605741750474----------
2019-12-09 21:56:48.044389:   [RESULT]   ----------Score on Int Limiting 58: 3.3220240993614576----------
2019-12-09 21:56:48.044516:   [RESULT]   ----------Score on Int Limiting 59: 2.867716751229105----------
2019-12-09 21:56:48.044600:   [RESULT]   ----------Score on Int Limiting 60: 2.881603306561653----------
2019-12-09 21:56:48.044752:   [RESULT]   ----------Score on Int Limiting 61: 3.2457700094166686----------
2019-12-09 21:56:48.044836:   [RESULT]   ----------Score on Int Limiting 62: 2.8216842561472664----------
2019-12-09 21:56:48.044965:   [RESULT]   ----------Score on Int Limiting 63: 3.11470818800292----------
2019-12-09 21:56:48.045069:   [RESULT]   ----------Score on Int Limiting 64: 3.003179388348944----------
2019-12-09 21:56:48.045416:   [RESULT]   ----------Score on Int Limiting 65: 3.023564696624204----------
2019-12-09 21:56:48.045600:   [RESULT]   ----------Score on Int Limiting 66: 3.0480266275671446----------
